annual_rainfall_mm,seasonal_rainfall_mm,cloud_visibility_km,humidity_percent,temperature_celsius,river_discharge_cusecs,soil_moisture_percent,flood
2522.9,1777.9,9.65,73.3,21.9,2956.8,59.4,1
2110.1,1396.0,10.29,73.5,31.8,2117.4,55.2,0
2621.0,1741.3,9.32,71.8,24.5,2562.9,60.7,1
3190.0,2336.7,6.81,89.2,25.6,3663.8,83.2,1
2047.8,1244.2,12.77,62.2,32.8,1651.8,47.2,0
2047.8,1459.3,9.88,77.2,22.5,1681.3,64.4,1
3226.5,1658.0,8.2,69.3,24.1,2442.5,61.8,1
2698.8,1377.8,8.46,61.1,23.9,2501.5,63.1,0
1894.8,1172.9,10.98,69.0,33.5,2042.8,61.5,0
2552.7,1629.6,5.23,71.6,35.0,2794.2,61.1,1
1898.8,1182.1,10.29,62.4,30.0,1372.8,50.3,0
1897.3,1365.2,9.57,61.5,30.1,2301.2,56.0,0
2357.3,1724.4,6.49,73.8,24.7,2851.6,61.8,1
956.4,366.6,12.23,63.9,34.8,553.0,26.9,0
1078.8,743.9,13.42,66.1,28.1,1688.5,53.3,0
1834.5,1244.3,10.68,68.9,30.4,2021.9,54.8,0
1541.7,1030.6,11.29,68.7,26.6,2709.6,42.3,0
2404.3,1477.5,9.92,71.0,25.9,1693.7,45.3,0
1609.8,889.3,11.8,57.6,33.7,2022.3,32.7,0
1282.0,1000.2,13.11,58.8,29.2,1632.0,53.4,0
3152.7,2343.1,6.4,79.6,32.8,2943.7,70.2,1
2053.2,1266.8,8.06,68.1,28.0,1925.5,51.0,0
2243.9,1490.1,11.86,75.6,23.6,2445.8,60.9,0
1273.9,540.7,13.53,64.7,24.7,1487.1,37.0,0
1846.2,1028.0,10.26,69.3,27.4,2301.6,52.6,0
2272.1,1207.4,8.59,66.8,24.5,2435.8,53.2,0
1451.9,958.8,12.0,58.6,22.6,1408.8,47.5,0
2444.2,1471.9,9.3,73.2,31.8,2678.9,48.2,0
1809.6,1145.5,13.07,70.2,24.8,2049.3,46.6,0
2010.4,1448.7,9.05,58.9,27.6,2114.5,60.8,0
1808.9,1123.5,9.53,63.1,28.2,1840.8,47.0,0
3404.0,2230.4,7.98,75.9,24.6,3075.1,79.1,1
